A¤o,Marca,Descripci¢n,Serie,Valor
0,Bomag,Vibrocompactador BW151AD2,FAVOR DE PROPORCIONAR,39628.42
0,Bomag,Vibrocompactador BW210D,84165,40152.05
0,Bomag,Vibrocompactador BW12R,106610D10306,44794.47
0,Case,Retroexcavadora 580M,JJG0306531,55025.66
0,Case,Retroexcavadora 580M,JJG0308420,67391.75
0,Case,Retroexcavadora 580M,JJG0306618,55231.75
0,Case,Retroexcavadora 580M,N6C400819,55231.75
0,Case,Retroexcavadora 580M,N6C400957,65166.67
0,Case,Retroexcavadora 580L,JJG0241532,45048.31
0,Case,Retroexcavadora 580 SUPERL,JJG0191734,45048.31
0,Case,Retroexcavadora 581 SUPERL,JJG0266752,45305.25
0,Case,Retroexcavadora 582 SUPERL,JJG0272153,45048.31
0,Case,Retroexcavadora 583 SUPERL,JJG0268229,45305.25
0,Case,Retroexcavadora 584 SUPERL,JJG0170569,35032
0,Case,Retroexcavadora 580M,N4C303755,53651.59
0,Case,Cargador Frontal 184O,JAF0047230,18179.2
0,Case,Minicargador Frontal Martillo 1845C,JAF0275241,19680
0,Case,Cargador Frontal 85XT,JAF0236575,19760
0,CASE,Retroexcavadora 580M,N4C303755,53651.59
0,Caterpillar,Excavadora 320 C,AKH01096,115009.57
0,Caterpillar,Excavadora 320BLU,9KK01811,110563.01
0,Caterpillar,Excavadora con Martillo 322BL,7ZZ00290,182113.67
0,Caterpillar,Excavadora hidraulica 322BL,1YS00419,135887.09
0,Caterpillar,Excavadora 324DL,CAT0324DCDFP00283,160325.99
0,Caterpillar,Excavadora 325CL,CAT0325CTCRB00850,118239.44
0,Caterpillar,Excavadora 325L,8NK00258,165551.25
0,Caterpillar,Excavadora 330CL,CAT0330CPCAP00312,135337.5
0,Caterpillar,Excavadora 330CL,CAT0330CCDKY01598,120036.15
0,Caterpillar,Excavadora 330CL,CAT0330CAKDD01018,135337.5
0,Caterpillar,Excavadora 330CL,CAT0330CTKDD01026,136063.98
0,Caterpillar,Excavadora 330C,CAT0330CKGAG00463,150375
0,Caterpillar,Excavadora 330BL,CAT330BC3YR01548,104241.64
0,Caterpillar,Excavadora 330BL,6DR03508,139080
0,Caterpillar,Excavadora 330BL,3YR00401,144936
0,Caterpillar,Excavadora 345BL,CAT0345BJAGS01920,110576.92
0,Caterpillar,Excavadora 345BL,4SS00455,149933.71
0,Caterpillar,Excavadora 330ECL,CAT0330CPDKY03113,150000
0,Caterpillar,Retroexcavadora 416C,4ZN16501,56500
0,Caterpillar,Retroexcavadora 420D,CAT0420DLFDP26520,55087.5
0,Caterpillar,Retroexcavadora 420D,CAT0420DPFDP26511,55087.5
0,Caterpillar,Retroexcavadora 426,7BC00787,29370.83
0,Caterpillar,Vibrocompactador CS433C,3TM00922,40193.07
0,Caterpillar,Motonivelador con Escarificador 140G,72V04525,94989.2
0,Caterpillar,Motoniveladora 12G,61M07113,64951.95
0,Caterpillar,Cargador Frontal 928F,2XL00956,52400
0,Caterpillar,Topador con Ripper D6MXL,3WN1573,89288.5
0,Caterpillar,Topador D6H,3YG05647,94493.33
0,Caterpillar,MOTONIVELADOR 120K,CAT0120KESZN01831,266832
0,Caterpillar,MOTONIVELADOR 120K,CAT0120KVSZN01774,266832
0,Caterpillar,Minicargador 262D,CAT0262DKKTS00391,55803.5
0,Caterpillar,Excavadora hidraulica 320D,CAT0320DTFAL10400,161275.46
0,Caterpillar,TOPADOR FRONTAL D6MXL,3WM01098,85000
0,Dynapac,Vibrocompactador de un Rodillo CA25D,965S17,35271.47
0,Dynapac,Compactador Pata de Cabra CC21A,432D30,29702.23
0,FAVOR DE PROPORCIONAR,Generador 80KW GEP88,OLEB01189,17886.5
0,FIATALLIS,Motoniveladora FG105A,89C00152,64951.95
0,Galion,Vibrocompactador V0S84A,GD450854,20038.67
0,GENIE,"Plataforma Articulada 45"" Z4525J",Z452513A-48133,71775
0,Hypac,Compactador Doble Rodillo C747B,FAVOR DE PROPORCIONAR,16011.33
0,Hyster,Vibrocompactador C850B,B188C1687L,29545.86
0,INGERSOLL RAND,Vibrocompactador CR32,144793,30159.33
0,INGERSOLL RAND,Vibrocompactador CR32,145984,30159.33
0,INGERSOLL RAND,Compactador Doble Rodillo DD110,5395SED,34880.27
0,INGRESOLL RAND,Compactador Doble Rodillo DD110,5395SED,34880.27
0,INGRESOLL RAND,Compactador Doble Rodillo DD90HF,181986,34880.27
0,INGRESOLL RAND,Vibrocompactador CR32,144793,30159.33
0,INGRESOLL RAND,Vibrocompactador CR32,145984,30159.33
0,INGRESOLL RAND,Vibrocompactador SD150D,5775S,40193.07
0,JHON DEERE,Excavadora 690ELC,DW690EL545294,129352.1
0,JHON DEERE,Retroexcavadora 710 D,T0710DD815276,35248.81
0,JHON DEERE,Motoconformadora con Escarificador 770BH,DW770BH513510,79552.14
0,JHON DEERE,Motonivelador con Escarificador 770B,DW770BX538579,79552.14
0,JHON DEERE,Motonivelador con Escarificador 770B,DW770BX518444,60080.56
0,JHON DEERE,Motoniveladora con neumaticos 772A,405266DW,40594.97
0,JHON DEERE,Motoniveladora 670CH,DW670CH574430,70142.75
0,JHON DEERE,Motoniveladora 770CH,DW770CH576600,70142.75
0,JHON DEERE,Motoniveladora 770CH,DW770CH576599,80407.54
0,JHON DEERE,Motoniveladora 670CH,DW670CH579408,89469.54
0,JHON DEERE,Cargador Frontal 644C,644CB404641,29972
0,kent,Martillo hidraulico F9,F93870,14117.4
0,kent,Martillo hidraulico F5,F59904,8014.5
0,kent,Martillo hidraulico F5,F59912,8014.5
0,kent,Martillo hidraulico F27,F272136,30059.08
0,Muller,Vibrocompactadora pata de cabra TC18,205059188,54987.27
0,Muller,Vibrocompactadora pata de cabra TC18,205049190,54987.27
0,Rex,Vibrocompactador SP700VIBR,7HZ458,37718.62
0,Sakai,Compactador Pata de Cabra SV500D,VSV4T10583,30334
0,WACKER,Apisonador BS604,20192023,2346.63
0,WACKER,Apisonador BS604,20192021,2346.63
0,WACKER,Apisonador BS604,20279407,3998.81
0,WACKER,Apisonador BS604,20282110,3998.81
0,WACKER,Apisonador BS604,20226594,3998.81
0,WACKER,Apisonador BS604,20212565,3998.81
0,WACKER,Apisonador BS604,20192023,2346.63
0,WACKER,Apisonador BS604,20192021,2346.63
